日期,开盘,收盘,最高,最低,成交量,涨跌幅,换手率
2022-07-06,13.42,13.52,13.85,13.38,43409,0.3,2.46
2022-07-07,13.72,13.53,13.72,13.32,28066,0.07,1.59
2022-07-08,13.59,13.56,13.85,13.49,33093,0.22,1.87
2022-07-11,13.45,13.3,13.51,13.14,25702,-1.92,1.46
2022-07-12,13.38,12.8,13.38,12.79,29067,-3.76,1.65
2022-07-13,12.89,12.95,13.01,12.7,20066,1.17,1.14
2022-07-14,12.91,13.08,13.22,12.81,22169,1.0,1.26
2022-07-15,13.1,13.18,13.29,12.88,29212,0.76,1.65
2022-07-18,13.23,13.6,13.66,13.1,38562,3.19,2.18
2022-07-19,13.62,15.72,16.32,13.62,285430,15.59,16.17
2022-07-20,15.37,15.78,15.94,15.0,223359,0.38,12.65
2022-07-21,15.53,15.41,15.95,15.41,103350,-2.34,5.85
2022-07-22,15.55,15.07,15.76,14.94,76251,-2.21,4.32
2022-07-25,15.11,14.63,15.26,14.58,54678,-2.92,3.1
2022-07-26,14.78,15.05,15.14,14.52,61393,2.87,3.48
2022-07-27,15.1,15.27,15.52,15.0,53127,1.46,3.01
2022-07-28,15.31,15.37,15.65,15.25,49527,0.65,2.81
2022-07-29,15.34,15.43,15.54,15.16,48193,0.39,2.73
2022-08-01,15.43,15.63,15.72,15.21,58651,1.3,3.32
2022-08-02,15.3,14.88,15.35,14.78,68130,-4.8,3.86
2022-08-03,14.99,15.11,15.88,14.98,79488,1.55,4.5
2022-08-04,15.14,15.05,15.31,14.91,39767,-0.4,2.25
2022-08-05,15.18,15.32,15.46,15.02,39214,1.79,2.22
2022-08-08,15.28,15.7,15.72,14.96,60521,2.48,3.43
2022-08-09,15.54,15.47,15.59,15.21,48895,-1.46,2.77
2022-08-10,15.46,15.71,16.13,15.28,68738,1.55,3.89
2022-08-11,15.95,16.51,16.7,15.52,122000,5.09,6.91
2022-08-12,16.51,15.72,16.51,15.6,98172,-4.78,5.56
2022-08-15,15.43,15.89,16.26,15.36,56901,1.08,3.22
2022-08-16,16.0,16.25,16.45,15.6,65698,2.27,3.72
2022-08-17,16.2,16.07,16.23,15.85,45333,-1.11,2.57
2022-08-18,16.07,17.35,17.5,16.05,160576,7.97,9.1
2022-08-19,17.55,16.87,17.82,16.74,127837,-2.77,7.24
2022-08-22,16.6,16.86,17.39,16.34,83326,-0.06,4.72
2022-08-23,16.8,16.64,17.47,16.38,68599,-1.3,3.89
2022-08-24,16.66,15.38,16.74,15.22,92019,-7.57,5.21
2022-08-25,15.38,14.7,15.68,14.53,65243,-4.42,3.7
2022-08-26,14.95,15.1,15.61,14.81,61825,2.72,3.5
2022-08-29,14.95,15.01,15.35,14.72,34431,-0.6,1.95
2022-08-30,14.98,14.76,15.21,14.74,28592,-1.67,1.62
2022-08-31,14.73,13.89,14.94,13.82,54976,-5.89,3.11
2022-09-01,13.97,13.67,14.08,13.63,30239,-1.58,1.71
2022-09-02,13.73,14.18,14.2,13.7,29083,3.73,1.65
2022-09-05,14.16,13.97,14.27,13.88,23023,-1.48,1.3
2022-09-06,14.0,14.09,14.11,13.71,22515,0.86,1.28
2022-09-07,14.05,14.15,14.35,13.92,31602,0.43,1.79
2022-09-08,14.18,13.9,14.28,13.8,24906,-1.77,1.41
2022-09-09,13.9,13.81,13.99,13.62,17290,-0.65,0.98
2022-09-13,13.91,13.91,14.18,13.82,20948,0.72,1.19
2022-09-14,13.65,13.56,13.8,13.45,22735,-2.52,1.29
2022-09-15,13.65,13.31,13.69,13.04,26605,-1.84,1.51
2022-09-16,13.2,12.71,13.36,12.41,61473,-4.51,3.48
2022-09-19,12.64,12.32,12.69,12.2,30613,-3.07,1.73
2022-09-20,12.51,12.71,12.98,12.43,22834,3.17,1.29
2022-09-21,12.61,12.91,12.94,12.4,22613,1.57,1.28
2022-09-22,12.7,12.78,12.99,12.67,22453,-1.01,1.27
2022-09-23,12.87,12.5,12.89,12.34,23591,-2.19,1.34
2022-09-26,12.42,12.21,12.57,12.21,18601,-2.32,1.05
2022-09-27,12.29,12.51,12.56,12.25,15806,2.46,0.9
2022-09-28,12.46,12.14,12.49,12.1,17260,-2.96,0.98
2022-09-29,12.24,11.91,12.34,11.77,24022,-1.89,1.36
2022-09-30,12.17,11.83,12.17,11.82,17909,-0.67,1.01
2022-10-10,11.91,11.62,12.06,11.54,18315,-1.78,1.04
2022-10-11,13.44,13.94,13.94,13.14,140266,19.97,7.95
2022-10-12,14.2,14.68,14.95,13.89,197060,5.31,11.16
2022-10-13,14.82,15.69,15.73,14.52,178100,6.88,10.09
2022-10-14,15.51,15.85,16.1,15.09,138839,1.02,7.87
2022-10-17,15.59,16.74,16.92,15.51,128749,5.62,7.29
2022-10-18,16.7,16.54,16.7,16.2,75953,-1.19,4.3
2022-10-19,16.48,16.73,16.91,16.36,73766,1.15,4.18
2022-10-20,16.5,16.67,16.9,16.5,67451,-0.36,3.82
2022-10-21,16.68,17.3,17.78,16.68,123025,3.78,6.97
2022-10-24,17.5,16.71,17.59,16.67,94731,-3.41,5.37
2022-10-25,16.73,16.58,16.88,16.37,73129,-0.78,4.14
2022-10-26,16.8,16.43,16.8,16.28,76046,-0.9,4.31
2022-10-27,16.59,16.2,16.65,16.16,51571,-1.4,2.92
