日期,开盘,收盘,最高,最低,成交量,涨跌幅,换手率
2022-07-06,105.0,103.0,105.0,101.07,49111,0.08,1.57
2022-07-07,102.0,102.68,105.75,102.0,40382,-0.31,1.29
2022-07-08,102.06,99.5,102.97,99.01,42110,-3.1,1.35
2022-07-11,99.45,97.45,100.4,96.03,38419,-2.06,1.23
2022-07-12,97.46,95.97,99.38,95.6,40828,-1.52,1.22
2022-07-13,96.05,96.9,98.93,95.11,42743,0.97,1.27
2022-07-14,96.7,98.01,100.56,95.5,35802,1.15,1.07
2022-07-15,97.9,96.32,100.92,96.32,30528,-1.72,0.91
2022-07-18,97.12,95.9,99.88,93.2,61265,-0.44,1.83
2022-07-19,95.41,96.83,99.32,94.6,32116,0.97,0.96
2022-07-20,97.5,98.82,100.48,97.21,28918,2.06,0.86
2022-07-21,98.93,102.56,104.3,97.99,53666,3.78,1.6
2022-07-22,102.61,101.0,104.99,100.4,33071,-1.52,0.71
2022-07-25,102.19,100.18,103.99,100.0,21815,-0.81,0.47
2022-07-26,100.72,102.17,103.45,99.29,26002,1.99,0.56
2022-07-27,102.09,102.65,104.4,101.2,23309,0.47,0.5
2022-07-28,102.28,103.01,103.85,100.21,30430,0.35,0.66
2022-07-29,103.8,99.89,103.8,98.02,57127,-3.03,1.23
2022-08-01,100.7,99.38,100.95,95.8,58494,-0.51,1.26
2022-08-02,100.15,99.88,101.43,98.25,54088,0.5,1.17
2022-08-03,99.49,102.61,106.07,99.28,67282,2.73,1.45
2022-08-04,103.0,104.55,106.0,100.03,65013,1.89,1.4
2022-08-05,104.09,105.96,106.39,102.13,44755,1.35,0.96
2022-08-08,105.97,109.2,109.98,104.8,39465,3.06,0.85
2022-08-09,110.8,108.48,110.8,106.05,30855,-0.66,0.66
2022-08-10,108.11,113.2,115.9,107.99,50640,4.35,1.09
2022-08-11,112.93,113.52,114.36,111.88,32413,0.28,0.7
2022-08-12,112.64,108.74,113.0,107.0,43449,-4.21,0.94
2022-08-15,108.91,110.75,112.0,107.0,29544,1.85,0.64
2022-08-16,110.62,110.95,113.5,109.7,24937,0.18,0.54
2022-08-17,111.0,107.4,111.0,106.17,34975,-3.2,0.75
2022-08-18,107.3,108.9,109.5,106.79,22831,1.4,0.49
2022-08-19,109.0,108.05,112.37,107.15,27382,-0.78,0.59
2022-08-22,111.79,113.9,118.0,111.79,112116,5.41,2.42
2022-08-23,115.9,112.3,116.0,111.58,58725,-1.4,1.27
2022-08-24,112.8,107.71,113.89,107.42,45722,-4.09,0.99
2022-08-25,107.03,107.51,109.78,105.69,44988,-0.19,0.97
2022-08-26,107.51,104.66,107.91,104.66,42483,-2.65,0.92
2022-08-29,104.0,105.02,108.9,102.96,57194,0.34,1.23
2022-08-30,105.02,104.23,106.58,102.0,34737,-0.75,0.75
2022-08-31,102.33,101.93,105.33,101.0,32034,-2.21,0.69
2022-09-01,101.65,103.01,105.33,101.65,34985,1.06,0.75
2022-09-02,102.79,105.14,107.58,102.5,35418,2.07,0.76
2022-09-05,103.95,108.71,110.6,103.61,47148,3.4,1.02
2022-09-06,108.8,111.34,112.98,108.05,35328,2.42,0.76
2022-09-07,110.24,111.87,113.38,110.01,26375,0.48,0.57
2022-09-08,111.87,115.55,116.65,111.0,42125,3.29,0.91
2022-09-09,114.54,114.4,117.0,113.66,29309,-1.0,0.63
2022-09-13,114.1,113.98,114.4,112.31,25957,-0.37,0.56
2022-09-14,112.95,114.65,116.3,112.95,36408,0.59,0.78
2022-09-15,114.8,111.56,114.8,109.81,41286,-2.7,0.89
2022-09-16,110.92,112.5,115.58,110.92,43020,0.84,0.93
2022-09-19,113.26,111.02,114.87,109.69,38219,-1.32,0.82
2022-09-20,111.7,111.0,112.78,108.0,31189,-0.02,0.67
2022-09-21,110.5,111.92,112.67,109.0,29943,0.83,0.65
2022-09-22,111.21,114.29,115.7,110.61,38072,2.12,0.82
2022-09-23,113.61,114.3,116.4,113.61,31847,0.01,0.69
2022-09-26,113.5,113.02,115.46,111.0,33566,-1.12,0.72
2022-09-27,114.0,113.36,115.19,112.0,29921,0.3,0.64
2022-09-28,112.0,110.23,114.83,109.51,29048,-2.76,0.63
2022-09-29,111.0,111.89,113.5,109.5,31159,1.51,0.67
2022-09-30,110.7,106.89,111.89,106.01,37464,-4.47,0.81
2022-10-10,105.0,101.6,106.9,100.8,45539,-4.95,0.98
2022-10-11,102.49,106.8,107.5,101.01,39281,5.12,0.85
2022-10-12,104.51,109.29,110.26,103.1,43784,2.33,0.94
2022-10-13,108.49,111.68,112.84,108.06,29532,2.19,0.64
2022-10-14,113.68,114.5,115.58,110.0,32815,2.53,0.71
2022-10-17,114.97,117.92,119.05,113.03,47052,2.99,1.01
2022-10-18,117.92,117.52,118.69,116.52,19869,-0.34,0.43
2022-10-19,116.0,116.83,119.52,115.01,22140,-0.59,0.48
2022-10-20,116.02,118.37,119.95,114.56,34425,1.32,0.74
2022-10-21,117.5,112.0,117.5,107.0,149274,-5.38,3.22
2022-10-24,110.65,117.5,119.72,110.1,80619,4.91,1.74
2022-10-25,117.77,114.99,119.5,113.07,51487,-2.14,1.11
2022-10-26,114.57,113.73,115.15,112.03,47843,-1.1,1.03
2022-10-27,113.92,111.22,114.76,107.9,66036,-2.21,1.42
2022-10-28,111.0,113.0,114.08,109.51,40406,1.6,0.87
2022-10-31,113.04,116.66,118.22,110.38,57122,3.24,1.23
2022-11-01,117.3,113.8,117.3,110.88,46666,-2.45,1.01
2022-11-02,113.7,107.98,114.39,105.6,97721,-5.11,2.11
2022-11-03,106.99,108.88,110.98,105.94,59551,0.83,1.28
2022-11-04,108.99,106.85,109.85,105.01,58226,-1.86,1.25
2022-11-07,106.95,104.7,108.2,103.51,74372,-2.01,1.6
2022-11-08,106.15,104.8,106.15,103.54,41825,0.1,0.9
2022-11-09,105.3,105.65,108.69,104.01,47465,0.81,1.02
2022-11-10,104.4,103.8,106.5,103.2,36161,-1.75,0.78
2022-11-11,106.1,101.6,106.49,101.3,59656,-2.12,1.29
2022-11-14,101.05,102.0,102.95,99.68,45141,0.39,0.97
2022-11-15,101.95,103.4,103.99,100.59,42958,1.37,0.93
2022-11-16,103.2,101.35,104.5,100.3,44523,-1.98,0.96
2022-11-17,100.3,102.2,102.6,97.88,43558,0.84,0.94
2022-11-18,101.49,102.35,104.2,101.49,32233,0.15,0.69
2022-11-21,101.51,102.35,103.3,101.05,28526,0.0,0.61
2022-11-22,101.86,103.5,104.47,101.21,41122,1.12,0.89
2022-11-23,103.0,101.78,103.0,97.54,68763,-1.66,1.48
2022-11-24,101.26,102.64,104.1,101.0,26757,0.84,0.58
2022-11-25,103.64,100.72,103.64,100.6,19081,-1.87,0.41
2022-11-28,99.01,100.48,101.44,98.1,25245,-0.24,0.54
2022-11-29,101.18,95.66,101.49,95.58,68007,-4.8,1.47
2022-11-30,96.0,97.86,97.86,95.81,50493,2.3,1.09
2022-12-01,98.1,98.35,99.5,96.32,43667,0.5,0.94
2022-12-02,98.5,97.72,99.97,97.23,24770,-0.64,0.53
2022-12-05,97.89,95.65,98.7,95.59,45197,-2.12,0.97
2022-12-06,95.47,97.8,98.37,93.94,34596,2.25,0.75
2022-12-07,97.37,98.24,100.77,97.11,28475,0.45,0.61
2022-12-08,98.78,95.91,99.21,95.88,29689,-2.37,0.64
2022-12-09,96.06,95.01,96.7,94.5,41748,-0.94,0.9
2022-12-12,95.8,98.98,99.56,94.57,45464,4.18,0.98
2022-12-13,99.58,100.48,102.64,99.03,47602,1.52,1.03
2022-12-14,100.33,96.79,104.3,96.49,47250,-3.67,1.02
2022-12-15,96.5,96.0,97.88,95.55,22005,-0.82,0.47
2022-12-16,96.0,95.0,96.8,93.3,26580,-1.04,0.57
2022-12-19,94.06,94.96,95.59,93.73,21301,-0.04,0.46
2022-12-20,95.55,94.98,96.3,93.62,22838,0.02,0.49
2022-12-21,94.9,93.89,95.6,93.6,24011,-1.15,0.52
2022-12-22,93.96,92.62,94.8,91.9,32958,-1.35,0.71
2022-12-23,92.01,90.2,93.07,89.21,27775,-2.61,0.6
2022-12-26,90.2,94.54,94.88,89.54,30351,4.81,0.65
2022-12-27,94.54,96.5,97.3,93.58,25152,2.07,0.54
2022-12-28,95.81,94.76,98.2,94.5,23738,-1.8,0.51
2022-12-29,94.7,96.96,97.38,94.44,22147,2.32,0.48
2022-12-30,95.91,94.69,97.5,93.76,27507,-2.34,0.59
2023-01-03,95.11,100.27,100.97,93.26,42561,5.89,0.92
2023-01-04,100.26,99.04,101.73,97.6,36214,-1.23,0.78
2023-01-05,99.03,99.7,99.98,97.8,26850,0.67,0.58
2023-01-06,99.34,98.19,101.22,97.43,30500,-1.51,0.66
2023-01-09,97.85,95.02,98.9,94.15,51416,-3.23,1.11
2023-01-10,95.37,95.46,95.99,94.08,24395,0.46,0.53
2023-01-11,95.5,93.92,97.7,93.3,34624,-1.61,0.75
2023-01-12,95.5,92.61,96.88,90.98,56866,-1.39,1.23
2023-01-13,91.48,89.79,92.59,89.08,58959,-3.05,1.27
2023-01-16,89.4,89.84,90.97,88.66,53247,0.06,1.15
2023-01-17,89.33,90.9,94.16,89.33,49956,1.18,1.08
2023-01-18,91.0,91.48,91.9,90.33,26862,0.64,0.58
2023-01-19,90.96,94.99,96.27,90.71,46436,3.84,1.0
2023-01-20,94.75,94.72,96.4,94.04,36055,-0.28,0.78
2023-01-30,95.8,97.47,98.16,94.5,67899,2.9,1.46
2023-01-31,97.43,98.35,99.2,96.35,39597,0.9,0.85
2023-02-01,97.8,97.56,99.0,96.8,44171,-0.8,0.95
2023-02-02,97.57,98.05,98.97,97.3,36349,0.5,0.78
2023-02-03,98.14,97.84,98.69,96.63,27522,-0.21,0.59
2023-02-06,98.51,99.59,99.99,97.6,40710,1.79,0.88
2023-02-07,99.23,96.88,99.23,95.68,29727,-2.72,0.64
2023-02-08,97.37,96.26,97.61,95.1,18625,-0.64,0.4
