日期,开盘,收盘,最高,最低,成交量,涨跌幅,换手率
2022-07-06,6.64,6.59,6.72,6.55,73470,-1.05,0.83
2022-07-07,6.59,6.6,6.64,6.57,53016,0.15,0.6
2022-07-08,6.61,6.67,6.79,6.58,74568,1.06,0.85
2022-07-11,6.63,6.53,6.75,6.5,77829,-2.1,0.88
2022-07-12,6.55,6.42,6.55,6.41,62048,-1.68,0.7
2022-07-13,6.45,6.54,6.59,6.4,62981,1.87,0.72
2022-07-14,6.53,6.48,6.57,6.47,54805,-0.92,0.62
2022-07-15,6.45,6.41,6.54,6.36,83095,-1.08,0.94
2022-07-18,6.36,6.52,6.53,6.36,61008,1.72,0.69
2022-07-19,6.49,6.69,6.7,6.48,98902,2.61,1.12
2022-07-20,6.69,6.73,6.78,6.66,78960,0.6,0.9
2022-07-21,6.72,6.74,6.82,6.68,83051,0.15,0.94
2022-07-22,6.77,6.65,6.79,6.61,65380,-1.34,0.74
2022-07-25,6.63,6.53,6.7,6.52,55545,-1.8,0.63
2022-07-26,6.51,6.57,6.58,6.49,55000,0.61,0.62
2022-07-27,6.56,6.69,6.7,6.49,82741,1.83,0.94
2022-07-28,6.7,6.68,6.81,6.66,76556,-0.15,0.87
2022-07-29,6.68,6.53,6.68,6.52,80634,-2.25,0.92
2022-08-01,6.5,6.63,6.65,6.46,57697,1.53,0.66
2022-08-02,6.61,6.33,6.61,6.24,118283,-4.52,1.34
2022-08-03,6.31,6.35,6.51,6.31,95267,0.32,1.08
2022-08-04,6.38,6.58,6.64,6.37,100183,3.62,1.14
2022-08-05,6.59,6.87,6.98,6.58,211361,4.41,2.4
2022-08-08,6.9,6.88,6.93,6.8,132647,0.15,1.51
2022-08-09,6.86,7.23,7.45,6.75,317854,5.09,3.61
2022-08-10,7.18,7.11,7.44,7.1,302658,-1.66,3.44
2022-08-11,7.13,7.15,7.27,7.11,191535,0.56,2.18
2022-08-12,7.14,7.01,7.21,7.01,126536,-1.96,1.44
2022-08-15,7.01,6.94,7.06,6.91,96491,-1.0,1.1
2022-08-16,6.94,6.99,7.16,6.92,100133,0.72,1.14
2022-08-17,6.98,7.0,7.03,6.94,76581,0.14,0.87
2022-08-18,7.0,6.98,7.01,6.85,80736,-0.29,0.92
2022-08-19,7.0,6.85,7.1,6.83,99899,-1.86,1.13
2022-08-22,6.79,6.83,6.9,6.73,74446,-0.29,0.85
