日期,开盘,收盘,最高,最低,成交量,涨跌幅,换手率
2022-10-14,9.75,10.88,10.91,9.59,106282,0.0,17.51
2022-10-17,11.0,11.74,12.89,11.0,102733,7.9,16.92
2022-10-18,11.29,12.09,12.72,10.83,82533,2.98,13.59
2022-10-19,12.0,11.8,12.2,11.29,31768,-2.4,5.23
2022-10-20,11.85,11.18,12.28,11.18,28739,-5.25,4.73
2022-10-21,11.2,11.32,11.71,10.92,24212,1.25,3.99
2022-10-24,11.31,11.65,12.09,11.16,26832,2.92,4.42
2022-10-25,11.51,11.31,11.8,11.27,11566,-2.92,1.91
2022-10-26,11.31,11.35,11.54,10.96,10290,0.35,1.69
2022-10-27,11.13,10.88,11.3,10.38,20130,-4.14,3.32
2022-10-28,10.75,10.6,10.75,10.25,11554,-2.57,1.9
2022-10-31,10.73,10.88,11.09,10.6,13421,2.64,2.21
2022-11-01,10.87,10.8,10.97,10.66,7159,-0.74,1.18
2022-11-02,11.06,10.89,11.2,10.71,11870,0.83,1.96
2022-11-03,11.09,11.2,11.31,10.81,12497,2.85,2.06
2022-11-04,11.2,12.9,12.98,11.2,43292,15.18,7.13
2022-11-07,12.77,12.45,13.0,12.3,29614,-3.49,4.88
2022-11-08,12.65,12.66,12.99,12.31,12650,1.69,2.08
2022-11-09,12.42,12.21,12.78,11.91,16845,-3.55,2.77
2022-11-10,12.6,12.24,12.99,12.2,17201,0.25,2.83
2022-11-11,12.5,12.31,12.6,12.04,11319,0.57,1.86
2022-11-14,12.7,13.1,13.64,12.4,23583,6.42,3.88
2022-11-15,12.8,14.33,14.38,12.8,28499,9.39,4.69
2022-11-16,14.16,15.78,16.08,13.95,24267,10.12,4.0
2022-11-17,15.48,16.3,17.58,15.4,25924,3.3,4.27
2022-11-18,16.3,16.32,17.5,15.51,16346,0.12,2.69
2022-11-21,16.37,16.56,17.05,16.0,14457,1.47,2.38
2022-11-22,16.5,16.43,16.77,14.99,17588,-0.79,2.9
2022-11-23,16.19,16.46,16.55,15.36,10144,0.18,1.67
2022-11-24,16.47,16.4,16.69,16.0,6582,-0.36,1.08
2022-11-25,16.45,16.39,16.72,16.1,12844,-0.06,2.12
2022-11-28,16.18,15.8,16.36,15.33,9233,-3.6,1.52
2022-11-29,15.9,15.4,16.04,15.14,14567,-2.53,2.4
2022-11-30,15.21,14.88,15.53,14.61,17905,-3.38,2.95
2022-12-01,14.88,15.08,15.18,14.5,7954,1.34,1.31
2022-12-02,15.08,16.26,16.39,14.86,15884,7.82,2.62
2022-12-05,15.89,16.32,17.1,15.89,7760,0.37,1.28
2022-12-06,16.48,16.52,16.7,15.96,3116,1.23,0.51
2022-12-07,16.6,17.19,17.28,16.3,11252,4.06,1.85
2022-12-08,16.88,17.3,17.59,16.88,4334,0.64,0.71
2022-12-09,17.02,17.0,17.44,16.58,4690,-1.73,0.77
2022-12-12,17.23,16.94,17.23,16.5,3273,-0.35,0.54
2022-12-13,17.02,16.54,17.02,16.24,2521,-2.36,0.42
2022-12-14,16.8,16.99,17.16,16.72,7112,2.72,1.17
2022-12-15,17.3,16.84,17.33,16.55,1261,-0.88,0.21
2022-12-16,16.57,16.65,17.07,16.3,1112,-1.13,0.18
2022-12-19,16.26,16.3,16.5,15.7,2655,-2.1,0.44
2022-12-20,15.9,16.2,16.42,15.79,3426,-0.61,0.56
2022-12-21,16.0,15.4,16.02,15.0,7238,-4.94,1.19
2022-12-22,15.2,15.0,15.43,14.8,2527,-2.6,0.42
2022-12-23,14.99,15.0,15.1,14.68,1925,0.0,0.32
2022-12-26,14.75,14.99,14.99,14.54,2347,-0.07,0.39
2022-12-27,14.4,14.91,15.24,14.4,5154,-0.53,0.85
2022-12-28,15.36,15.45,15.49,15.0,4608,3.62,0.76
2022-12-29,15.1,15.45,15.5,15.09,1412,0.0,0.23
2022-12-30,15.1,15.85,15.85,15.09,3040,2.59,0.5
2023-01-03,15.31,15.63,15.93,15.31,1016,-1.39,0.17
2023-01-04,15.5,15.26,15.88,15.05,2413,-2.37,0.4
2023-01-05,15.01,15.61,15.79,15.01,3541,2.29,0.58
2023-01-06,15.66,15.32,15.72,15.01,2308,-1.86,0.38
2023-01-09,15.32,15.12,15.5,15.11,1012,-1.31,0.17
2023-01-10,15.02,15.1,15.28,14.8,3147,-0.13,0.52
2023-01-11,15.1,15.1,15.27,14.81,2032,0.0,0.33
2023-01-12,15.28,15.15,15.28,14.85,1466,0.33,0.24
2023-01-13,14.88,15.13,15.25,14.88,721,-0.13,0.12
2023-01-16,14.8,14.89,15.15,14.42,5355,-1.59,0.88
2023-01-17,14.56,15.18,15.2,14.55,2241,1.95,0.37
2023-01-18,15.1,14.71,15.5,14.6,3642,-3.1,0.6
2023-01-19,15.04,15.19,15.51,14.78,5065,3.26,0.83
2023-01-20,15.02,15.32,15.4,15.02,589,0.86,0.1
2023-01-30,15.32,15.5,15.73,15.16,2158,1.17,0.36
2023-01-31,15.47,16.3,16.5,15.47,7302,5.16,1.2
2023-02-01,16.85,16.29,16.85,15.73,4987,-0.06,0.82
2023-02-02,16.0,16.27,16.3,15.8,3542,-0.12,0.58
2023-02-03,16.19,16.2,16.2,15.6,3733,-0.43,0.61
2023-02-06,16.1,16.02,16.13,15.7,3865,-1.11,0.64
2023-02-07,15.73,16.46,16.56,15.73,5680,2.75,0.94
2023-02-08,16.88,16.33,16.88,16.05,2053,-0.79,0.34
2023-02-09,16.1,16.71,16.9,16.1,3274,2.33,0.54
2023-02-10,16.4,16.72,16.95,16.4,1217,0.06,0.2
2023-02-13,16.8,18.05,18.66,16.73,10083,7.95,1.66
2023-02-14,18.1,18.48,19.5,18.1,7830,2.38,1.29
2023-02-15,18.78,18.88,19.2,17.39,4736,2.16,0.78
2023-02-16,18.88,18.33,19.35,17.8,4569,-2.91,0.75
2023-02-17,18.86,18.77,18.86,17.7,3515,2.4,0.58
2023-02-20,18.83,18.8,19.19,18.62,4376,0.16,0.72
2023-02-21,18.72,18.79,19.81,18.19,5505,-0.05,0.91
2023-02-22,18.97,18.75,18.97,18.2,4139,-0.21,0.68
2023-02-23,18.18,18.74,19.02,18.18,2350,-0.05,0.39
2023-02-24,18.3,18.39,18.71,18.12,2406,-1.87,0.4
2023-02-27,18.39,17.68,18.39,17.5,1846,-3.86,0.3
2023-02-28,17.5,16.73,17.5,16.4,7987,-5.37,1.32
2023-03-01,17.0,16.86,17.0,16.57,3439,0.78,0.57
2023-03-02,17.0,16.87,17.48,16.31,2111,0.06,0.35
2023-03-03,16.66,16.76,16.8,16.28,1697,-0.65,0.28
2023-03-06,16.97,16.76,16.97,16.1,3462,0.0,0.57
2023-03-07,16.57,16.2,16.57,15.8,2228,-3.34,0.37
