日期,开盘,收盘,最高,最低,成交量,涨跌幅,换手率
2022-07-06,3.93,3.89,3.96,3.87,206626,-1.27,1.61
2022-07-07,3.91,3.93,3.97,3.89,193324,1.03,1.51
2022-07-08,3.93,4.13,4.15,3.92,702673,5.09,5.47
2022-07-11,4.18,4.09,4.22,4.05,431042,-0.97,3.36
2022-07-12,4.05,3.93,4.08,3.93,308631,-3.91,2.4
2022-07-13,3.94,3.98,3.99,3.93,191459,1.27,1.49
2022-07-14,3.95,3.92,3.97,3.9,227638,-1.51,1.77
2022-07-15,3.92,3.74,3.92,3.74,350787,-4.59,2.73
2022-07-18,3.77,3.97,3.99,3.77,468768,6.15,3.65
2022-07-19,3.99,4.14,4.16,3.98,583750,4.28,4.55
2022-07-20,4.15,4.18,4.19,4.11,444850,0.97,3.46
2022-07-21,4.21,4.23,4.31,4.2,608299,1.2,4.74
2022-07-22,4.24,4.17,4.37,4.11,410068,-1.42,3.19
2022-07-25,4.2,4.09,4.23,4.06,256452,-1.92,2.0
2022-07-26,4.1,4.17,4.18,4.08,268861,1.96,2.09
2022-07-27,4.16,4.14,4.22,4.13,215684,-0.72,1.68
2022-07-28,4.18,4.18,4.23,4.15,276542,0.97,2.15
2022-07-29,4.18,4.17,4.26,4.15,293381,-0.24,2.28
2022-08-01,4.16,4.23,4.27,4.13,305478,1.44,2.38
2022-08-02,4.21,4.04,4.21,3.93,452061,-4.49,3.52
2022-08-03,4.01,4.06,4.18,4.01,427082,0.5,3.33
2022-08-04,4.06,4.28,4.28,4.06,660338,5.42,5.14
2022-08-05,4.24,4.37,4.39,4.19,775544,2.1,6.04
2022-08-08,4.35,4.34,4.36,4.27,507932,-0.69,3.96
2022-08-09,4.3,4.33,4.34,4.25,355616,-0.23,2.77
2022-08-10,4.3,4.28,4.32,4.23,332953,-1.15,2.59
2022-08-11,4.3,4.37,4.38,4.29,482388,2.1,3.76
2022-08-12,4.33,4.31,4.37,4.3,368470,-1.37,2.87
2022-08-15,4.3,4.24,4.31,4.23,312192,-1.62,2.43
2022-08-16,4.25,4.22,4.3,4.18,306883,-0.47,2.39
2022-08-17,4.23,4.24,4.26,4.17,238646,0.47,1.86
2022-08-18,4.25,4.36,4.39,4.16,680828,2.83,5.3
2022-08-19,4.35,4.33,4.47,4.31,684830,-0.69,5.33
2022-08-22,4.32,4.42,4.52,4.22,683603,2.08,5.32
2022-08-23,4.38,4.36,4.44,4.32,441433,-1.36,3.44
2022-08-24,4.35,4.15,4.37,4.14,511140,-4.82,3.98
2022-08-25,4.03,3.93,4.09,3.81,768510,-5.3,5.98
2022-08-26,3.91,3.8,3.96,3.79,432189,-3.31,3.37
2022-08-29,3.76,3.83,3.85,3.69,222279,0.79,1.73
2022-08-30,3.83,3.85,3.95,3.81,250993,0.52,1.95
2022-08-31,3.86,3.81,3.91,3.8,265186,-1.04,2.06
2022-09-01,3.85,3.83,3.93,3.81,240143,0.52,1.87
2022-09-02,3.82,3.92,3.97,3.82,330317,2.35,2.57
2022-09-05,3.89,3.86,3.91,3.81,277079,-1.53,2.16
2022-09-06,3.85,3.85,3.86,3.79,228935,-0.26,1.78
2022-09-07,3.84,3.81,3.84,3.8,196786,-1.04,1.53
2022-09-08,3.81,3.76,3.82,3.75,202233,-1.31,1.57
2022-09-09,3.76,3.78,3.8,3.75,132309,0.53,1.03
2022-09-13,3.79,3.78,3.84,3.77,160218,0.0,1.25
2022-09-14,3.73,3.73,3.74,3.68,180346,-1.32,1.4
2022-09-15,3.74,3.64,3.75,3.6,206017,-2.41,1.6
2022-09-16,3.63,3.54,3.69,3.54,175318,-2.75,1.37
2022-09-19,3.55,3.49,3.56,3.45,137936,-1.41,1.07
2022-09-20,3.5,3.52,3.59,3.5,112031,0.86,0.87
2022-09-21,3.49,3.58,3.61,3.42,169142,1.7,1.32
