日期,开盘,收盘,最高,最低,成交量,涨跌幅,换手率
2022-07-06,23.36,23.06,23.66,22.7,16749,-0.39,1.74
2022-07-07,23.12,22.9,23.4,22.56,20560,-0.69,2.14
2022-07-08,22.95,22.54,23.26,22.49,19020,-1.57,1.98
2022-07-11,22.55,21.55,22.61,21.24,38084,-4.39,3.96
2022-07-12,21.44,20.91,21.67,20.84,25988,-2.97,2.7
2022-07-13,21.1,21.62,21.86,20.93,20245,3.4,2.11
2022-07-14,21.55,22.07,22.38,21.41,17960,2.08,1.87
2022-07-15,21.82,21.8,22.59,21.76,16149,-1.22,1.68
2022-07-18,22.45,21.43,22.45,21.15,32594,-1.7,3.39
2022-07-19,21.5,21.56,21.92,21.13,16641,0.61,1.73
2022-07-20,21.5,22.16,22.21,21.45,22169,2.78,2.31
2022-07-21,22.11,22.57,23.35,21.93,28600,1.85,2.98
2022-07-22,22.51,22.08,22.99,22.0,27070,-2.17,2.82
2022-07-25,22.08,22.12,22.7,21.7,19234,0.18,2.0
2022-07-26,22.28,22.17,22.33,21.5,13593,0.23,1.41
2022-07-27,22.15,23.46,23.98,21.83,29855,5.82,3.11
2022-07-28,23.54,23.73,24.12,23.33,23544,1.15,2.45
2022-07-29,23.62,23.28,24.19,23.1,17346,-1.9,1.81
2022-08-01,23.17,23.38,23.79,22.69,17806,0.43,1.85
2022-08-02,23.22,22.24,23.22,21.95,25790,-4.88,2.68
2022-08-03,22.48,21.97,23.16,21.8,22539,-1.21,2.35
2022-08-04,22.03,22.46,22.68,22.03,16114,2.23,1.68
2022-08-05,22.46,23.63,23.83,22.46,29756,5.21,3.1
2022-08-08,23.43,23.98,24.33,23.13,21149,1.48,2.2
2022-08-09,23.86,24.17,24.28,23.75,18374,0.79,1.91
2022-08-10,23.93,24.5,24.96,23.85,18572,1.37,1.93
2022-08-11,24.73,24.53,24.89,24.28,15064,0.12,1.57
2022-08-12,24.5,23.79,24.99,23.7,23021,-3.02,2.4
2022-08-15,23.93,24.21,24.54,23.59,18047,1.77,1.88
2022-08-16,24.37,24.55,24.84,24.01,14573,1.4,1.52
2022-08-17,24.82,23.9,24.87,23.9,16424,-2.65,1.71
2022-08-18,24.1,24.09,24.42,23.98,15949,0.79,1.66
2022-08-19,24.09,23.2,24.2,23.09,20291,-3.69,2.11
2022-08-22,23.21,22.22,23.25,22.11,26548,-4.22,2.76
2022-08-23,22.64,22.18,22.84,21.96,28326,-0.18,2.95
2022-08-24,22.54,20.91,22.54,20.91,28556,-5.73,2.97
2022-08-25,21.04,19.8,21.33,19.41,42092,-5.31,4.38
2022-08-26,19.87,20.03,20.65,19.8,21200,1.16,2.21
2022-08-29,19.79,20.24,20.37,19.41,19766,1.05,2.06
2022-08-30,20.23,19.83,20.38,19.7,14107,-2.03,1.47
2022-08-31,19.8,19.0,19.92,18.89,20799,-4.19,2.16
2022-09-01,19.09,18.85,19.19,18.67,18382,-0.79,1.91
2022-09-02,18.99,18.75,19.28,18.7,14097,-0.53,1.47
2022-09-05,18.8,18.7,19.05,18.55,16406,-0.27,1.71
2022-09-06,18.7,19.03,19.1,18.5,14075,1.76,1.46
2022-09-07,19.06,19.65,19.93,18.93,18880,3.26,1.96
2022-09-08,19.78,19.44,19.88,19.39,12499,-1.07,1.3
2022-09-09,19.1,19.33,19.58,19.1,9181,-0.57,0.96
2022-09-13,19.31,19.3,19.87,19.2,13902,-0.16,1.45
2022-09-14,18.9,19.27,19.35,18.73,14347,-0.16,1.49
2022-09-15,19.17,18.71,19.33,18.48,17339,-2.91,1.8
2022-09-16,18.72,18.35,18.98,18.35,12092,-1.92,1.26
2022-09-19,18.31,17.86,18.53,17.76,12432,-2.67,1.29
2022-09-20,18.76,18.05,18.76,17.91,11190,1.06,1.16
2022-09-21,18.08,17.95,18.18,17.62,11153,-0.55,1.16
2022-09-22,17.85,18.23,18.8,17.78,23749,1.56,2.47
2022-09-23,18.28,17.44,18.45,17.3,13454,-4.33,1.4
