日期,开盘,收盘,最高,最低,成交量,涨跌幅,换手率
2022-07-06,13.46,13.51,13.51,13.25,7937,0.37,0.91
2022-07-07,13.36,13.48,13.63,13.36,6447,-0.22,0.74
2022-07-08,13.46,13.58,13.66,13.46,7893,0.74,0.91
2022-07-11,13.48,13.43,13.58,13.35,6221,-1.1,0.71
2022-07-12,13.48,13.01,13.49,13.01,7362,-3.13,0.84
2022-07-13,13.15,13.54,13.55,13.03,10264,4.07,1.18
2022-07-14,13.38,13.46,13.52,13.38,4017,-0.59,0.46
2022-07-15,13.4,13.03,13.48,13.03,9000,-3.19,1.03
2022-07-18,13.03,13.86,14.18,13.0,32535,6.37,3.73
2022-07-19,13.93,13.98,14.0,13.7,12351,0.87,1.42
2022-07-20,13.88,14.06,14.2,13.86,10989,0.57,1.26
2022-07-21,14.1,13.94,14.16,13.9,6499,-0.85,0.75
2022-07-22,13.94,14.45,14.9,13.94,22173,3.66,2.54
2022-07-25,14.6,14.79,15.55,14.46,38337,2.35,4.4
2022-07-26,14.73,14.47,14.79,14.19,18841,-2.16,2.16
2022-07-27,14.39,14.72,14.89,14.39,13916,1.73,1.6
2022-07-28,14.9,14.54,14.9,14.53,11971,-1.22,1.37
2022-07-29,14.54,14.52,14.79,14.47,8600,-0.14,0.99
2022-08-01,14.69,14.44,14.69,14.32,7479,-0.55,0.86
2022-08-02,14.44,14.04,14.44,13.7,16652,-2.77,1.91
2022-08-03,14.04,14.21,14.66,14.04,15051,1.21,1.73
2022-08-04,14.31,14.8,15.0,14.3,14919,4.15,1.71
2022-08-05,14.81,14.83,15.0,14.5,14202,0.2,1.63
2022-08-08,14.89,15.09,15.41,14.53,18574,1.75,2.13
2022-08-09,15.02,15.41,15.63,15.0,18379,2.12,2.11
2022-08-10,15.63,15.48,15.89,15.22,18227,0.45,2.09
2022-08-11,15.68,15.53,15.76,15.5,8771,0.32,1.01
2022-08-12,15.52,15.45,15.71,15.39,8917,-0.52,1.02
2022-08-15,15.46,15.29,15.65,15.2,10023,-1.04,1.15
2022-08-16,15.29,15.4,15.53,15.22,13246,0.72,1.52
2022-08-17,15.4,15.48,15.62,15.38,6330,0.52,0.73
2022-08-18,15.51,15.59,15.63,15.27,9308,0.71,1.07
2022-08-19,15.63,15.74,16.25,15.58,26997,0.96,3.1
2022-08-22,16.09,15.65,16.09,15.61,9976,-0.57,1.14
2022-08-23,15.62,15.69,15.87,15.53,7589,0.26,0.87
2022-08-24,15.76,15.3,15.76,15.1,9171,-2.49,1.05
2022-08-25,15.3,15.08,15.35,14.79,7569,-1.44,0.87
2022-08-26,15.02,14.94,15.29,14.88,6435,-0.93,0.74
2022-08-29,15.2,15.33,15.55,14.73,15507,2.61,1.78
2022-08-30,15.58,15.3,15.58,15.04,8121,-0.2,0.93
2022-08-31,15.26,14.82,15.39,14.8,8953,-3.14,1.03
2022-09-01,14.81,14.8,15.05,14.66,5886,-0.13,0.67
2022-09-02,14.73,15.47,15.5,14.65,15305,4.53,1.75
2022-09-05,15.76,16.0,16.14,15.7,26336,3.43,3.02
2022-09-06,16.0,16.07,16.2,15.88,20581,0.44,2.36
2022-09-07,16.07,15.96,16.19,15.83,7962,-0.68,0.91
2022-09-08,15.89,15.83,16.1,15.82,6958,-0.81,0.8
2022-09-09,15.96,15.65,15.96,15.46,7118,-1.14,0.82
2022-09-13,15.8,15.6,15.8,15.51,5832,-0.32,0.67
2022-09-14,15.53,15.4,15.62,15.33,5646,-1.28,0.65
2022-09-15,15.4,14.92,15.52,14.73,15181,-3.12,1.74
2022-09-16,14.92,14.54,15.07,14.37,10866,-2.55,1.25
2022-09-19,14.65,14.38,14.65,13.85,12537,-1.1,1.44
2022-09-20,14.38,14.69,14.76,14.31,7579,2.16,0.87
2022-09-21,14.7,15.07,15.09,14.52,12414,2.59,1.42
2022-09-22,14.87,14.89,15.19,14.81,5074,-1.19,0.58
2022-09-23,14.84,14.3,14.95,14.15,12691,-3.96,1.46
2022-09-26,14.13,13.85,14.22,13.78,8756,-3.15,1.0
2022-09-27,13.86,14.31,14.36,13.86,9534,3.32,1.09
2022-09-28,14.31,14.1,14.39,13.9,5839,-1.47,0.67
2022-09-29,14.09,13.58,14.15,13.37,11061,-3.69,1.27
2022-09-30,13.54,13.48,13.7,13.28,4576,-0.74,0.52
2022-10-10,13.49,13.12,13.6,12.97,7858,-2.67,0.9
2022-10-11,13.12,13.16,13.25,12.83,4047,0.3,0.46
2022-10-12,13.16,13.44,13.46,12.79,4702,2.13,0.54
2022-10-13,13.45,13.94,14.09,13.13,7905,3.72,0.91
2022-10-14,13.94,14.27,14.3,13.81,6987,2.37,0.8
2022-10-17,14.27,15.25,15.46,14.25,15888,6.87,1.82
2022-10-18,15.26,15.13,15.39,15.08,9415,-0.79,1.08
2022-10-19,15.21,15.14,15.45,15.03,7709,0.07,0.88
2022-10-20,15.06,15.02,15.39,15.01,6876,-0.79,0.79
2022-10-21,15.01,15.14,15.2,14.86,4806,0.8,0.55
2022-10-24,15.15,15.1,15.59,15.01,13072,-0.26,1.5
2022-10-25,14.8,14.92,15.19,14.76,8182,-1.19,0.94
2022-10-26,15.14,15.1,15.16,14.82,8602,1.21,0.99
2022-10-27,15.2,15.68,15.72,15.15,21865,3.84,2.51
2022-10-28,15.69,14.98,15.75,14.73,14145,-4.46,1.62
2022-10-31,14.78,14.97,15.33,14.63,8317,-0.07,0.95
2022-11-01,15.3,15.08,15.3,14.8,8061,0.73,0.92
2022-11-02,15.21,15.16,15.29,14.86,7115,0.53,0.82
2022-11-03,14.88,15.25,15.3,14.88,5364,0.59,0.62
2022-11-04,15.23,15.41,15.6,15.03,8312,1.05,0.95
2022-11-07,15.41,16.35,16.5,15.28,30626,6.1,3.51
2022-11-08,16.51,17.31,17.84,16.37,67820,5.87,7.78
2022-11-09,17.49,17.71,18.2,17.2,45862,2.31,5.26
2022-11-10,17.76,17.19,18.52,17.14,54999,-2.94,6.31
2022-11-11,17.37,18.68,18.89,17.05,70244,8.67,8.05
2022-11-14,19.07,18.08,19.07,18.03,44691,-3.21,5.12
2022-11-15,18.43,18.26,19.15,18.1,34921,1.0,4.0
2022-11-16,18.8,19.3,19.5,18.47,52710,5.7,6.04
2022-11-17,19.15,19.72,20.08,19.02,35661,2.18,4.09
2022-11-18,19.72,20.34,20.52,19.65,48125,3.14,5.52
2022-11-21,20.34,21.17,21.56,20.22,42780,4.08,4.91
2022-11-22,21.17,23.35,23.77,21.03,95179,10.3,10.91
2022-11-23,24.0,23.19,24.0,21.64,100858,-0.69,11.57
2022-11-24,23.1,24.85,25.2,22.48,122746,7.16,14.07
2022-11-25,24.42,24.81,25.58,24.2,77515,-0.16,8.89
2022-11-28,25.0,27.6,28.72,24.81,122492,11.25,14.05
2022-11-29,27.6,26.65,27.72,25.88,95275,-3.44,10.92
2022-11-30,26.12,26.21,26.53,25.36,81646,-1.65,9.36
2022-12-01,26.21,28.63,29.3,25.52,102481,9.23,11.75
2022-12-02,28.33,28.24,29.47,27.26,67438,-1.36,7.73
2022-12-05,29.0,29.28,30.1,26.56,90051,3.68,10.33
2022-12-06,29.46,29.02,30.49,28.45,61701,-0.89,7.08
2022-12-07,29.18,30.3,30.3,28.81,56727,4.41,6.5
