日期,开盘,收盘,最高,最低,成交量,涨跌幅,换手率
2022-07-06,20.99,20.85,21.84,20.55,113833,-3.02,2.74
2022-07-07,20.88,21.34,21.45,20.49,81716,2.35,1.96
2022-07-08,21.6,20.28,21.69,20.02,87862,-4.97,2.11
2022-07-11,20.2,19.46,20.49,18.98,79654,-4.04,1.91
2022-07-12,19.46,18.96,19.76,18.88,69472,-2.57,1.67
2022-07-13,18.92,19.16,19.28,18.6,51979,1.05,1.25
2022-07-14,19.05,20.12,20.68,19.05,101397,5.01,2.44
2022-07-15,20.04,20.29,21.25,19.7,66620,0.84,1.6
2022-07-18,20.0,20.75,21.57,19.98,62875,2.27,1.51
2022-07-19,20.6,22.44,22.47,20.5,114266,8.14,2.75
2022-07-20,22.2,22.02,22.75,21.5,118286,-1.87,2.84
2022-07-21,22.0,21.7,22.0,20.22,85800,-1.45,2.06
2022-07-22,21.71,21.63,22.63,21.26,65931,-0.32,1.58
2022-07-25,21.89,23.02,23.07,21.03,191275,6.43,4.6
2022-07-26,23.05,25.32,25.32,22.86,186483,9.99,4.48
2022-07-27,26.07,27.85,27.85,26.0,66682,9.99,1.6
2022-07-28,30.64,30.64,30.64,30.64,7850,10.02,0.19
2022-07-29,33.7,33.7,33.7,33.5,104587,9.99,2.51
2022-08-01,36.89,37.07,37.07,33.25,332075,10.0,7.98
2022-08-02,36.54,40.78,40.78,36.3,223114,10.01,5.36
2022-08-03,41.01,39.9,43.63,38.8,268686,-2.16,6.46
2022-08-04,39.3,40.38,40.65,37.43,215418,1.2,5.18
2022-08-05,39.45,38.61,40.6,37.31,179316,-4.38,4.31
2022-08-08,38.5,42.47,42.47,38.28,144346,10.0,3.46
2022-08-09,42.4,43.4,46.72,42.34,192795,2.19,4.62
2022-08-10,41.41,47.74,47.74,41.41,152655,10.0,3.66
2022-08-11,47.74,44.99,48.2,42.97,145327,-5.76,3.48
2022-08-12,44.45,41.5,48.0,40.51,163171,-7.76,3.91
2022-08-15,40.01,42.73,43.4,39.0,127754,2.96,3.06
2022-08-16,42.74,47.0,47.0,41.76,134909,9.99,3.23
2022-08-17,46.0,47.0,49.65,44.71,115040,0.0,2.76
2022-08-18,45.97,51.7,51.7,45.01,140964,10.0,3.38
2022-08-19,51.66,51.99,54.3,49.55,103680,0.56,2.48
2022-08-22,51.3,51.4,53.48,48.95,93341,-1.13,2.24
2022-08-23,49.23,52.5,52.5,49.21,72003,2.14,1.72
2022-08-24,52.58,47.25,52.83,47.25,85695,-10.0,2.05
2022-08-25,45.2,48.63,49.8,45.2,123310,2.92,2.95
2022-08-26,47.47,43.77,49.11,43.77,95594,-9.99,2.29
2022-08-29,42.8,44.58,45.96,42.22,90718,1.85,2.17
2022-08-30,45.41,43.75,46.2,42.04,83342,-1.86,2.0
2022-08-31,43.84,39.84,43.84,39.38,128440,-8.94,3.08
2022-09-01,39.88,41.6,42.24,39.88,63227,4.42,1.51
2022-09-02,42.0,43.92,45.76,39.79,104216,5.58,2.5
2022-09-05,43.62,41.6,44.74,40.96,98968,-5.28,2.37
2022-09-06,42.06,44.82,45.5,40.61,108780,7.74,2.61
2022-09-07,44.03,47.9,48.77,44.01,106154,6.87,2.54
2022-09-08,46.6,44.5,47.75,43.11,144905,-7.1,3.47
2022-09-09,43.78,43.65,44.01,42.0,64613,-1.91,1.55
2022-09-13,43.33,44.0,44.56,40.71,75946,0.8,1.82
2022-09-14,43.22,42.46,44.78,42.0,66015,-3.5,1.58
2022-09-15,43.16,39.45,43.17,38.88,77233,-7.09,1.85
2022-09-16,39.05,38.48,40.76,38.3,62196,-2.46,1.49
2022-09-19,38.2,37.98,39.48,37.32,50225,-1.3,1.2
2022-09-20,38.15,39.02,40.43,38.04,75269,2.74,1.8
2022-09-21,38.78,39.78,41.82,38.78,100267,1.95,2.4
2022-09-22,39.86,41.33,43.19,38.11,97148,3.9,2.33
2022-09-23,41.44,37.9,41.54,37.39,98938,-8.3,2.37
2022-09-26,37.41,38.29,39.61,37.06,83624,1.03,2.0
2022-09-27,38.6,35.78,38.84,35.12,135498,-6.56,3.24
2022-09-28,35.79,33.39,36.0,33.08,115956,-6.68,2.78
2022-09-29,33.85,33.93,34.42,32.2,81549,1.62,1.95
2022-09-30,33.8,32.38,34.22,32.28,58725,-4.57,1.41
2022-10-10,30.77,30.16,31.88,29.59,168861,-6.86,4.04
2022-10-11,30.7,30.65,31.4,29.38,85645,1.62,2.05
2022-10-12,31.14,31.58,31.68,29.78,68455,3.03,1.64
2022-10-13,31.41,29.5,31.95,29.33,118350,-6.59,2.83
2022-10-14,29.83,30.53,31.35,29.08,109105,3.49,2.61
2022-10-17,30.53,31.21,31.43,29.7,107978,2.23,2.59
2022-10-18,31.25,30.01,31.46,29.51,118915,-3.84,2.85
2022-10-19,29.85,29.44,30.6,29.31,84931,-1.9,2.03
2022-10-20,29.16,29.26,30.18,28.5,101958,-0.61,2.44
2022-10-21,29.0,29.21,29.84,28.75,57317,-0.17,1.37
2022-10-24,29.41,29.41,30.59,28.7,87665,0.68,2.1
2022-10-25,28.91,30.28,30.83,28.51,97278,2.96,2.33
2022-10-26,30.04,30.4,31.18,29.43,115559,0.4,2.77
2022-10-27,30.06,27.37,31.06,27.36,191469,-9.97,4.58
2022-10-28,28.0,27.46,29.35,27.41,212503,0.33,5.09
2022-10-31,27.71,27.72,28.63,27.41,96606,0.95,2.31
2022-11-01,27.9,28.95,29.12,27.45,107535,4.44,2.57
2022-11-02,29.05,31.85,31.85,28.7,119615,10.02,2.86
2022-11-03,31.99,31.99,32.41,31.15,178457,0.44,4.27
2022-11-04,32.1,33.55,34.15,32.1,167520,4.88,4.01
2022-11-07,33.55,33.69,34.44,32.79,92900,0.42,2.22
2022-11-08,33.74,33.31,33.75,32.5,60810,-1.13,1.46
2022-11-09,32.27,32.83,33.1,30.79,115040,-1.44,2.75
2022-11-10,32.5,31.68,32.74,31.44,67877,-3.5,1.63
2022-11-11,32.23,31.03,32.48,30.82,71510,-2.05,1.71
2022-11-14,30.75,30.28,31.32,29.92,64539,-2.42,1.55
2022-11-15,29.95,31.32,31.4,29.66,76393,3.43,1.83
2022-11-16,31.11,31.13,31.83,30.9,48443,-0.61,1.16
2022-11-17,30.9,30.76,30.93,30.0,39381,-1.19,0.94
2022-11-18,31.1,31.09,32.42,30.01,90017,1.07,2.16
2022-11-21,31.1,32.61,33.2,30.45,105476,4.89,2.53
2022-11-22,32.46,31.34,32.46,31.05,91724,-3.89,2.2
2022-11-23,31.35,30.96,31.41,29.96,67405,-1.21,1.61
2022-11-24,30.96,30.8,31.79,30.66,50208,-0.52,1.2
2022-11-25,30.83,29.7,30.9,29.33,78220,-3.57,1.87
2022-11-28,29.5,30.06,30.2,29.08,49207,1.21,1.18
2022-11-29,30.14,29.18,30.27,28.8,69834,-2.93,1.67
2022-11-30,29.01,29.21,29.56,28.3,48974,0.1,1.17
2022-12-01,29.48,30.73,31.75,29.29,88068,5.2,2.11
2022-12-02,30.9,29.62,31.16,29.58,63878,-3.61,1.53
2022-12-05,29.65,29.18,29.75,28.95,44418,-1.49,1.06
2022-12-06,29.0,28.92,29.44,28.18,64239,-0.89,1.54
2022-12-07,28.75,28.54,29.65,28.33,49567,-1.31,1.19
2022-12-08,28.43,28.43,29.35,28.18,48894,-0.39,1.17
2022-12-09,28.31,28.55,29.13,27.98,44399,0.42,1.06
2022-12-12,28.6,30.78,31.2,28.22,159036,7.81,3.81
2022-12-13,30.35,29.33,30.58,29.08,71429,-4.71,1.71
2022-12-14,29.61,32.26,32.26,29.13,82153,9.99,1.97
2022-12-15,32.19,35.3,35.4,31.61,223795,9.42,5.36
2022-12-16,34.37,34.57,34.93,33.37,112376,-2.07,2.69
2022-12-19,34.61,35.1,36.79,33.76,102839,1.53,2.46
2022-12-20,34.7,35.24,36.1,33.99,115777,0.4,2.77
2022-12-21,34.19,34.1,35.32,33.5,77393,-3.23,1.85
2022-12-22,34.22,32.53,34.46,32.0,82009,-4.6,1.96
2022-12-23,32.32,32.34,33.09,31.5,50878,-0.58,1.22
2022-12-26,32.39,33.53,33.85,31.65,60164,3.68,1.44
2022-12-27,33.4,34.68,35.05,32.72,67174,3.43,1.61
2022-12-28,34.3,33.76,34.88,33.65,43786,-2.65,1.05
2022-12-29,33.53,33.18,34.41,32.96,34151,-1.72,0.82
2022-12-30,33.0,33.33,33.8,32.35,47933,0.45,1.15
