日期,开盘,收盘,最高,最低,成交量,涨跌幅,换手率
2022-07-06,20.19,20.03,20.5,19.75,9654,-0.35,1.35
2022-07-07,20.03,20.11,20.33,19.92,8868,0.4,1.24
2022-07-08,20.14,20.28,20.55,20.14,11551,0.85,1.62
2022-07-11,20.3,19.95,20.5,19.8,12104,-1.63,1.69
2022-07-12,19.85,19.52,20.17,19.5,10293,-2.16,1.44
2022-07-13,19.57,19.74,19.87,19.5,6887,1.13,0.96
2022-07-14,19.93,20.18,20.29,19.7,13018,2.23,1.82
2022-07-15,19.99,20.61,21.14,19.6,31134,2.13,4.35
2022-07-18,21.19,22.67,22.67,21.19,71438,10.0,9.99
2022-07-19,22.96,21.7,23.75,21.7,114225,-4.28,15.97
2022-07-20,22.04,22.1,22.5,21.55,54688,1.84,7.65
2022-07-21,22.12,22.75,23.98,21.71,78294,2.94,10.95
2022-07-22,22.38,22.49,23.12,22.2,53210,-1.14,7.44
2022-07-25,22.3,21.64,22.56,21.5,53825,-3.78,7.53
2022-07-26,21.82,22.21,22.3,21.11,35360,2.63,4.95
2022-07-27,22.15,23.12,23.17,22.0,60579,4.1,8.47
2022-07-28,23.18,23.03,23.33,22.78,42481,-0.39,5.94
2022-07-29,22.84,23.28,23.65,22.6,46128,1.09,6.45
2022-08-01,23.7,24.03,24.27,22.7,75492,3.22,10.56
2022-08-02,23.68,24.8,25.25,23.0,130112,3.2,18.2
2022-08-03,24.58,24.44,25.1,24.0,96603,-1.45,13.51
2022-08-04,24.16,23.59,24.2,22.82,75789,-3.48,10.6
2022-08-05,23.69,23.0,23.72,22.5,50246,-2.5,7.03
2022-08-08,22.8,23.73,23.92,22.56,48476,3.17,6.78
2022-08-09,23.31,23.48,23.89,23.3,37594,-1.05,5.26
2022-08-10,23.28,23.87,23.88,22.82,49864,1.66,6.97
2022-08-11,23.72,23.35,23.74,23.26,37480,-2.18,5.24
2022-08-12,23.36,22.94,24.3,22.91,36858,-1.76,5.15
2022-08-15,22.55,23.38,23.72,22.55,37874,1.92,5.3
2022-08-16,23.71,23.22,23.93,23.1,33224,-0.68,4.65
2022-08-17,23.23,23.04,23.45,22.77,31747,-0.78,4.44
2022-08-18,22.99,23.59,23.9,22.92,46561,2.39,6.51
2022-08-19,23.59,22.19,23.83,22.17,63384,-5.93,8.86
2022-08-22,22.09,22.42,22.7,21.8,27818,1.04,3.89
2022-08-23,22.4,22.91,23.12,22.0,31117,2.19,4.35
2022-08-24,23.01,21.9,23.09,21.8,30260,-4.41,4.23
2022-08-25,22.02,21.35,22.02,21.07,25135,-2.51,3.52
2022-08-26,21.1,20.03,21.39,19.82,50004,-6.18,6.99
2022-08-29,19.8,19.8,20.15,19.54,30088,-1.15,4.21
2022-08-30,19.8,19.5,19.97,19.35,20081,-1.52,2.81
2022-08-31,19.5,18.76,19.53,18.7,25243,-3.79,3.53
2022-09-01,18.85,18.52,18.94,18.41,17414,-1.28,2.44
2022-09-02,18.56,18.89,19.02,18.56,25347,2.0,3.54
2022-09-05,18.86,18.91,19.11,18.68,15499,0.11,2.17
2022-09-06,18.94,19.15,19.15,18.62,21793,1.27,3.05
2022-09-07,19.05,19.56,19.6,19.0,29553,2.14,4.13
2022-09-08,19.4,19.21,19.65,19.2,16355,-1.79,2.29
2022-09-09,19.21,18.95,19.3,18.82,13855,-1.35,1.94
2022-09-13,18.97,19.52,19.58,18.92,20875,3.01,2.92
2022-09-14,19.14,19.33,19.48,19.07,13786,-0.97,1.93
2022-09-15,19.3,18.53,19.47,18.45,20854,-4.14,2.92
2022-09-16,18.53,18.45,18.9,18.35,11918,-0.43,1.67
2022-09-19,18.5,18.57,18.89,18.15,11128,0.65,1.56
2022-09-20,18.55,19.18,19.18,18.51,16532,3.28,2.31
2022-09-21,18.75,18.4,18.85,18.22,25275,-4.07,3.53
2022-09-22,18.3,18.26,18.66,18.05,13121,-0.76,1.84
2022-09-23,18.22,17.6,18.3,17.56,18191,-3.61,2.54
2022-09-26,17.59,17.56,17.76,17.31,10178,-0.23,1.42
2022-09-27,17.59,18.08,18.09,17.55,10842,2.96,1.52
2022-09-28,18.05,17.58,18.08,17.48,9617,-2.77,1.35
2022-09-29,17.7,17.56,17.84,17.43,6687,-0.11,0.94
2022-09-30,17.63,17.15,17.68,17.12,9127,-2.33,1.28
2022-10-10,17.18,16.81,17.35,16.66,8965,-1.98,1.25
2022-10-11,16.99,17.01,17.15,16.63,6946,1.19,0.97
2022-10-12,17.08,17.61,17.65,16.79,10590,3.53,1.48
2022-10-13,17.6,17.8,18.19,17.51,14341,1.08,2.01
2022-10-14,18.02,18.12,18.46,17.82,11389,1.8,1.59
2022-10-17,18.1,19.42,19.93,18.0,37278,7.17,5.21
2022-10-18,19.65,19.06,19.65,19.0,28952,-1.85,4.05
2022-10-19,19.05,19.03,19.34,18.81,21685,-0.16,3.03
2022-10-20,18.94,18.77,19.04,18.54,16475,-1.37,2.3
2022-10-21,19.0,19.18,19.29,18.71,16198,2.18,2.27
2022-10-24,19.2,19.23,19.83,19.15,26711,0.26,3.74
2022-10-25,19.1,21.15,21.15,18.94,152287,9.98,21.3
2022-10-26,21.0,21.6,21.98,20.05,152372,2.13,21.31
2022-10-27,20.85,20.77,21.59,20.65,90483,-3.84,12.65
2022-10-28,20.7,20.42,21.3,20.11,87570,-1.69,12.25
2022-10-31,20.18,21.27,21.28,19.96,81428,4.16,11.39
2022-11-01,20.98,21.79,21.87,20.58,97907,2.44,13.69
2022-11-02,21.4,21.44,21.61,21.12,73129,-1.61,10.23
2022-11-03,21.45,21.7,21.83,21.29,51003,1.21,7.13
2022-11-04,21.83,21.32,22.48,21.31,86638,-1.75,12.12
2022-11-07,21.11,20.95,21.31,20.5,63349,-1.74,8.86
2022-11-08,20.94,21.03,21.03,20.38,34540,0.38,4.83
2022-11-09,21.05,20.61,21.25,20.6,34895,-2.0,4.88
2022-11-10,20.33,20.02,20.84,19.89,39711,-2.86,5.55
2022-11-11,20.28,20.03,20.48,20.02,28880,0.05,4.04
2022-11-14,20.04,19.8,20.25,19.58,22937,-1.15,3.21
2022-11-15,19.77,20.63,20.67,19.68,34383,4.19,4.81
2022-11-16,20.68,19.95,20.68,19.8,30337,-3.3,4.24
2022-11-17,19.9,20.21,20.23,19.6,19753,1.3,2.76
2022-11-18,20.22,19.87,20.35,19.85,23446,-1.68,3.28
2022-11-21,19.8,21.15,21.36,19.65,59254,6.44,8.29
2022-11-22,21.08,20.69,21.56,20.65,48770,-2.17,6.82
2022-11-23,20.87,20.25,20.95,19.6,31612,-2.13,4.42
2022-11-24,20.19,19.89,20.8,19.79,28296,-1.78,3.96
2022-11-25,19.82,18.99,19.97,18.92,36458,-4.52,5.1
2022-11-28,18.68,18.76,18.96,18.43,22301,-1.21,3.12
2022-11-29,18.66,19.26,19.58,18.66,24128,2.67,3.37
2022-11-30,19.21,19.44,19.85,18.98,20815,0.93,2.91
2022-12-01,19.82,20.4,21.3,19.77,47933,4.94,6.7
2022-12-02,20.16,21.33,21.6,20.16,63103,4.56,8.83
2022-12-05,21.41,21.45,21.65,20.93,36142,0.56,5.05
2022-12-06,21.2,21.2,21.62,20.95,25417,-1.17,3.55
2022-12-07,21.17,20.83,21.28,20.66,22857,-1.75,3.2
2022-12-08,21.15,20.62,21.15,20.48,21189,-1.01,2.96
