日期,开盘,收盘,最高,最低,成交量,涨跌幅,换手率
2022-12-28,20.69,21.5,21.74,19.99,20850,-14.0,23.33
2022-12-29,20.21,19.19,20.27,19.18,5359,-10.74,6.0
2022-12-30,19.04,18.7,19.04,18.53,2262,-2.55,2.53
2023-01-03,18.6,19.17,19.39,18.5,1911,2.51,2.14
2023-01-04,19.01,19.16,19.39,18.96,948,-0.05,1.06
2023-01-05,19.16,18.96,19.23,18.91,821,-1.04,0.92
2023-01-06,18.92,18.83,18.96,18.8,741,-0.69,0.83
2023-01-09,18.75,18.8,18.85,18.7,499,-0.16,0.56
2023-01-10,18.68,18.66,18.7,18.63,581,-0.74,0.65
2023-01-11,18.66,18.7,18.87,18.66,571,0.21,0.64
2023-01-12,18.8,18.68,18.8,18.6,251,-0.11,0.28
2023-01-13,18.52,18.7,18.88,18.52,247,0.11,0.28
2023-01-16,18.6,19.03,19.1,18.6,567,1.76,0.63
2023-01-17,19.01,19.03,19.04,18.92,286,0.0,0.32
2023-01-18,18.72,19.11,19.2,18.72,348,0.42,0.39
2023-01-19,19.11,18.97,19.15,18.75,630,-0.73,0.7
2023-01-20,18.91,19.21,19.21,18.91,665,1.27,0.74
2023-01-30,19.28,19.3,19.36,19.24,683,0.47,0.76
2023-01-31,19.27,20.17,20.33,19.25,2976,4.51,3.33
2023-02-01,20.94,20.2,20.94,19.7,2686,0.15,3.0
2023-02-02,20.46,20.06,20.46,20.03,1099,-0.69,1.23
2023-02-03,20.08,20.16,20.16,19.72,935,0.5,1.05
2023-02-06,20.15,19.97,20.25,19.85,636,-0.94,0.71
2023-02-07,20.14,19.99,20.25,19.88,799,0.1,0.89
2023-02-08,19.92,19.87,20.0,19.81,592,-0.6,0.66
2023-02-09,19.72,20.03,20.08,19.72,377,0.81,0.42
2023-02-10,20.02,20.03,20.1,19.88,237,0.0,0.27
2023-02-13,20.03,20.02,20.11,19.9,312,-0.05,0.35
2023-02-14,19.94,19.99,20.1,19.9,482,-0.15,0.54
2023-02-15,20.0,19.98,20.06,19.85,321,-0.05,0.36
2023-02-16,19.82,19.83,20.1,19.82,467,-0.75,0.52
2023-02-17,19.83,19.66,19.83,19.4,882,-0.86,0.99
2023-02-20,19.59,19.69,19.96,19.46,337,0.15,0.38
2023-02-21,19.69,19.62,19.88,19.5,797,-0.36,0.89
2023-02-22,19.5,19.44,19.59,19.41,432,-0.92,0.48
2023-02-23,19.43,19.46,19.54,19.43,230,0.1,0.26
2023-02-24,19.41,19.4,19.57,19.36,263,-0.31,0.29
2023-02-27,19.5,19.39,19.51,19.38,69,-0.05,0.08
2023-02-28,19.37,19.32,19.5,19.31,312,-0.36,0.35
2023-03-01,19.3,19.4,19.44,19.3,315,0.41,0.35
2023-03-02,19.41,19.34,19.41,19.33,333,-0.31,0.37
2023-03-03,19.32,19.22,19.32,19.04,194,-0.62,0.22
2023-03-06,19.2,19.18,19.23,19.15,374,-0.21,0.42
2023-03-07,19.28,19.13,19.28,19.12,326,-0.26,0.36
2023-03-08,19.35,19.11,19.35,19.1,154,-0.1,0.17
2023-03-09,19.06,19.07,19.11,19.06,204,-0.21,0.23
2023-03-10,19.02,19.05,19.22,19.02,155,-0.1,0.17
2023-03-13,19.01,18.91,19.1,18.9,402,-0.73,0.45
2023-03-14,18.91,18.61,18.93,18.6,495,-1.59,0.55
2023-03-15,18.63,18.69,18.99,18.63,182,0.43,0.2
2023-03-16,18.61,18.62,18.74,18.55,360,-0.37,0.4
2023-03-17,18.63,18.81,18.84,18.63,494,1.02,0.55
2023-03-20,18.84,18.79,18.84,18.75,199,-0.11,0.22
2023-03-21,18.68,19.32,19.58,18.68,1010,2.82,1.13
2023-03-22,19.24,19.1,19.31,19.0,580,-1.14,0.65
2023-03-23,18.89,18.94,19.19,18.81,378,-0.84,0.42
2023-03-24,18.9,19.65,19.72,18.77,1500,3.75,1.68
2023-03-27,19.6,19.57,19.96,19.4,767,-0.41,0.86
2023-03-28,19.41,19.25,19.57,19.0,1111,-1.64,1.24
2023-03-29,19.32,19.0,19.8,18.7,1824,-1.3,2.04
2023-03-30,18.97,18.8,19.16,18.71,446,-1.05,0.5
2023-03-31,18.73,18.84,18.95,18.73,506,0.21,0.57
2023-04-03,18.73,19.04,19.07,18.72,574,1.06,0.64
2023-04-04,19.02,19.06,19.3,18.82,661,0.11,0.74
2023-04-06,19.0,18.95,19.0,18.85,142,-0.58,0.16
2023-04-07,18.9,19.04,19.04,18.85,163,0.47,0.18
2023-04-10,19.21,18.99,19.21,18.83,325,-0.26,0.36
2023-04-11,18.83,18.91,19.0,18.82,313,-0.42,0.35
2023-04-12,18.98,18.96,19.0,18.81,274,0.26,0.31
2023-04-13,18.88,18.95,18.97,18.82,329,-0.05,0.37
2023-04-14,18.95,18.95,18.95,18.82,258,0.0,0.29
2023-04-17,18.95,18.94,18.95,18.83,348,-0.05,0.39
2023-04-18,19.01,18.92,19.01,18.9,234,-0.11,0.26
2023-04-19,18.83,19.04,19.04,18.83,575,0.63,0.64
2023-04-20,18.5,17.89,18.5,17.8,567,-6.04,0.63
2023-04-21,17.89,17.68,17.89,17.67,466,-1.17,0.52
2023-04-24,17.68,17.72,17.82,17.61,156,0.23,0.17
2023-04-25,17.73,17.7,17.73,17.49,357,-0.11,0.4
2023-04-26,17.57,17.86,17.91,17.57,341,0.9,0.38
2023-04-27,17.9,17.65,17.99,17.62,382,-1.18,0.43
2023-04-28,17.59,17.69,17.77,17.51,190,0.23,0.21
2023-05-04,17.96,17.64,17.96,17.01,226,-0.28,0.25
2023-05-05,17.58,18.59,18.9,17.58,2088,5.39,2.34
