日期,开盘,收盘,最高,最低,成交量,涨跌幅,换手率
2022-07-06,10.1,10.23,10.41,10.06,2537,0.0,0.5
2022-07-07,10.2,10.18,10.23,10.08,1209,-0.49,0.24
2022-07-08,10.18,10.18,10.28,10.04,1581,0.0,0.31
2022-07-11,10.19,10.13,10.19,10.01,2251,-0.49,0.44
2022-07-12,10.1,10.15,10.16,10.0,946,0.2,0.19
2022-07-13,10.15,10.22,10.28,10.05,960,0.69,0.19
2022-07-14,10.0,10.24,10.26,10.0,1649,0.2,0.32
2022-07-15,10.24,10.05,10.24,10.05,1226,-1.86,0.24
2022-07-18,10.25,10.17,10.29,10.05,1127,1.19,0.22
2022-07-19,10.26,10.25,10.28,10.12,1237,0.79,0.24
2022-07-20,10.24,10.43,10.49,10.24,1790,1.76,0.35
2022-07-21,10.51,11.0,11.12,10.51,5928,5.47,1.17
2022-07-22,11.14,10.85,11.14,10.64,2069,-1.36,0.41
2022-07-25,10.64,10.88,10.92,10.58,1021,0.28,0.2
2022-07-26,10.89,10.95,10.96,10.75,1370,0.64,0.27
2022-07-27,10.95,10.9,11.02,10.86,1329,-0.46,0.26
2022-07-28,10.76,10.96,11.09,10.76,1107,0.55,0.22
2022-07-29,10.8,11.08,11.18,10.8,3206,1.09,0.63
2022-08-01,11.03,11.24,11.29,11.0,2686,1.44,0.53
2022-08-02,11.12,10.74,11.22,10.64,3475,-4.45,0.68
2022-08-03,11.08,10.87,11.08,10.65,716,1.21,0.14
2022-08-04,10.67,10.83,10.84,10.67,311,-0.37,0.06
2022-08-05,10.87,10.86,10.87,10.7,596,0.28,0.12
2022-08-08,10.71,10.69,10.89,10.68,726,-1.57,0.14
2022-08-09,10.69,10.58,10.78,10.56,786,-1.03,0.15
2022-08-10,10.68,10.26,10.68,10.12,2021,-3.02,0.4
2022-08-11,10.12,10.46,10.48,10.11,1705,1.95,0.34
2022-08-12,10.25,10.46,10.46,10.25,1281,0.0,0.25
2022-08-15,10.43,10.45,10.48,10.28,473,-0.1,0.09
2022-08-16,10.44,10.42,10.57,10.29,383,-0.29,0.08
2022-08-17,10.58,10.3,10.58,10.25,443,-1.15,0.09
2022-08-18,10.25,10.29,10.43,10.12,684,-0.1,0.13
2022-08-19,10.18,10.37,10.46,10.18,1258,0.78,0.25
2022-08-22,10.22,10.34,10.34,10.21,627,-0.29,0.12
2022-08-23,10.55,10.41,10.57,10.35,893,0.68,0.18
2022-08-24,10.4,10.19,10.4,10.02,999,-2.11,0.2
2022-08-25,10.3,10.23,10.3,10.07,783,0.39,0.15
2022-08-26,10.45,10.25,10.45,10.1,860,0.2,0.17
2022-08-29,10.3,10.58,10.74,10.1,2392,3.22,0.47
2022-08-30,10.52,10.55,10.65,10.36,681,-0.28,0.13
2022-08-31,10.5,10.6,10.67,10.31,1432,0.47,0.28
2022-09-01,10.88,10.7,10.88,10.53,3075,0.94,0.6
2022-09-02,10.84,10.56,10.84,10.47,1318,-1.31,0.26
2022-09-05,10.57,10.55,10.8,10.46,526,-0.09,0.1
2022-09-06,10.62,10.57,10.62,10.45,149,0.19,0.03
2022-09-07,10.67,10.56,10.67,10.47,612,-0.09,0.12
2022-09-08,10.44,10.48,10.6,10.44,543,-0.76,0.11
2022-09-09,10.5,10.42,10.5,10.25,668,-0.57,0.13
2022-09-13,10.5,10.58,10.65,10.4,1299,1.54,0.26
2022-09-14,10.25,10.5,10.57,10.25,832,-0.76,0.16
2022-09-15,10.58,10.39,10.58,10.18,1106,-1.05,0.22
2022-09-16,10.13,10.44,10.6,10.1,2798,0.48,0.55
2022-09-19,10.42,10.02,10.42,10.0,1977,-4.02,0.39
2022-09-20,7.85,10.01,10.14,7.85,1252,-0.1,0.25
2022-09-21,9.95,10.53,10.62,9.88,4114,5.19,0.81
2022-09-22,10.55,10.4,10.98,10.4,3268,-1.23,0.64
2022-09-23,10.37,9.91,10.37,9.7,3836,-4.71,0.75
2022-09-26,9.8,9.19,9.83,9.1,3182,-7.27,0.63
2022-09-27,9.26,9.28,9.5,9.04,1485,0.98,0.29
2022-09-28,9.25,9.28,9.46,9.08,891,0.0,0.18
2022-09-29,9.25,9.21,9.4,9.1,600,-0.75,0.12
2022-09-30,9.19,9.22,9.26,9.06,194,0.11,0.04
2022-10-10,9.12,8.89,9.28,8.89,1111,-3.58,0.22
