日期,开盘,收盘,最高,最低,成交量,涨跌幅,换手率
2022-07-06,8.95,8.78,9.01,8.7,30626,-1.79,1.38
2022-07-07,8.78,8.82,8.89,8.62,24277,0.46,1.09
2022-07-08,8.98,8.74,9.03,8.7,16863,-0.91,0.76
2022-07-11,8.73,8.66,8.81,8.59,18896,-0.92,0.85
2022-07-12,8.61,8.37,8.74,8.35,22272,-3.35,1.0
2022-07-13,8.49,8.34,8.49,8.29,14800,-0.36,0.67
2022-07-14,8.35,8.2,8.36,8.17,18539,-1.68,0.83
2022-07-15,8.12,8.16,8.35,8.01,21368,-0.49,0.96
2022-07-18,8.15,8.38,8.4,8.15,23460,2.7,1.06
2022-07-19,8.38,8.66,8.69,8.29,25030,3.34,1.13
2022-07-20,8.67,8.69,8.74,8.57,15204,0.35,0.68
2022-07-21,8.66,8.43,8.71,8.43,12908,-2.99,0.58
2022-07-22,8.44,8.36,8.53,8.29,11789,-0.83,0.53
2022-07-25,8.4,8.42,8.45,8.28,11303,0.72,0.51
2022-07-26,8.42,8.52,8.55,8.33,22698,1.19,1.02
2022-07-27,8.51,8.58,8.63,8.48,22976,0.7,1.03
2022-07-28,8.66,8.82,8.86,8.51,25372,2.8,1.14
2022-07-29,8.8,8.69,8.87,8.67,17884,-1.47,0.8
2022-08-01,8.65,8.71,8.78,8.54,12861,0.23,0.58
2022-08-02,8.7,8.4,8.7,8.25,21194,-3.56,0.95
2022-08-03,8.4,8.48,8.8,8.4,27069,0.95,1.22
2022-08-04,8.68,8.75,8.78,8.5,21956,3.18,0.99
2022-08-05,8.75,8.89,8.89,8.61,26713,1.6,1.2
2022-08-08,9.78,9.78,9.78,9.78,32894,10.01,1.48
2022-08-09,10.0,10.08,10.2,9.6,203505,3.07,9.15
2022-08-10,9.86,9.84,10.13,9.7,91993,-2.38,4.14
2022-08-11,9.9,10.31,10.52,9.73,111282,4.78,5.01
2022-08-12,10.21,10.31,10.79,10.12,86354,0.0,3.88
2022-08-15,10.4,10.7,10.85,10.1,92945,3.78,4.18
2022-08-16,11.0,10.88,11.2,10.31,171665,1.68,7.72
2022-08-17,10.87,10.52,11.15,10.41,78628,-3.31,3.54
2022-08-18,10.85,11.15,11.34,10.73,117225,5.99,5.27
2022-08-19,10.98,11.06,11.27,10.86,66887,-0.81,3.01
2022-08-22,10.84,10.97,11.15,10.8,52038,-0.81,2.34
2022-08-23,10.98,12.07,12.07,10.87,95325,10.03,4.29
2022-08-24,12.3,11.36,12.33,11.23,102728,-5.88,4.62
2022-08-25,11.46,11.14,11.46,10.75,89175,-1.94,4.01
2022-08-26,11.19,11.24,11.5,10.9,59278,0.9,2.67
2022-08-29,11.19,11.4,11.55,10.8,46568,1.42,2.09
2022-08-30,11.35,11.16,11.35,11.0,48264,-2.11,2.17
2022-08-31,11.16,11.02,11.35,10.86,51562,-1.25,2.32
2022-09-01,11.08,10.87,11.12,10.81,38307,-1.36,1.72
