日期,开盘,收盘,最高,最低,成交量,涨跌幅,换手率
2022-07-06,89.88,90.0,93.29,88.61,14182,-0.56,1.24
2022-07-07,90.0,93.57,93.63,90.0,12665,3.97,1.1
2022-07-08,94.0,93.1,95.49,92.11,5734,-0.5,0.5
2022-07-11,92.47,93.62,94.51,91.0,5515,0.56,0.48
2022-07-12,93.42,88.67,94.45,88.33,10009,-5.29,0.87
2022-07-13,89.0,90.0,92.5,86.02,7381,1.5,0.64
2022-07-14,89.46,90.34,90.83,88.02,5372,0.38,0.47
2022-07-15,91.99,89.29,92.34,85.3,20753,-1.16,1.81
2022-07-18,87.57,87.61,89.12,84.9,7946,-1.88,0.69
2022-07-19,88.37,89.24,90.98,86.82,8786,1.86,0.77
2022-07-20,90.87,89.12,90.87,88.5,4175,-0.13,0.36
2022-07-21,90.31,89.98,91.45,88.8,5831,0.96,0.51
2022-07-22,90.55,91.96,91.98,89.39,8742,2.2,0.76
2022-07-25,91.4,88.52,91.96,88.1,7588,-3.74,0.66
2022-07-26,88.53,90.77,91.5,88.53,4986,2.54,0.43
2022-07-27,90.31,90.54,92.28,90.29,6844,-0.25,0.6
2022-07-28,90.53,89.22,91.39,88.3,6608,-1.46,0.58
2022-07-29,89.49,90.4,91.0,88.7,6974,1.32,0.61
2022-08-01,89.95,90.83,92.88,89.02,7690,0.48,0.67
2022-08-02,91.12,93.37,94.2,89.58,13724,2.8,1.2
2022-08-03,92.4,91.05,94.98,91.0,8556,-2.48,0.75
2022-08-04,91.72,89.87,91.96,87.33,7495,-1.3,0.65
2022-08-05,89.88,93.44,94.0,89.88,9350,3.97,0.82
2022-08-08,92.85,98.0,99.8,92.85,20291,4.88,1.77
2022-08-09,97.48,94.8,98.0,94.0,9983,-3.27,0.87
2022-08-10,94.8,95.68,98.15,94.76,11428,0.93,1.0
2022-08-11,95.68,95.0,96.92,93.32,7727,-0.71,0.67
2022-08-12,95.0,92.0,95.0,91.91,6024,-3.16,0.53
2022-08-15,91.97,88.34,91.98,82.8,10481,-3.98,0.91
2022-08-16,95.88,97.17,97.17,92.5,25027,10.0,2.18
2022-08-17,96.98,94.97,99.98,94.46,25560,-2.26,2.23
2022-08-18,95.71,93.63,96.9,93.2,9309,-1.41,0.81
2022-08-19,93.63,92.64,94.66,90.17,7812,-1.06,0.68
2022-08-22,92.64,91.58,93.79,90.89,9357,-1.14,0.82
2022-08-23,92.65,91.4,95.3,91.0,9041,-0.2,0.79
2022-08-24,91.45,90.7,93.0,90.52,6728,-0.77,0.59
2022-08-25,89.79,91.11,91.99,88.64,6195,0.45,0.54
2022-08-26,92.0,92.3,93.27,90.1,9308,1.31,0.81
2022-08-29,91.91,91.13,93.5,90.32,6244,-1.27,0.54
2022-08-30,93.0,92.35,93.99,91.24,7850,1.34,0.68
2022-08-31,92.18,94.31,94.96,91.6,7808,2.12,0.68
2022-09-01,94.25,96.0,98.58,93.41,14717,1.79,1.28
2022-09-02,96.0,95.8,96.84,94.5,7927,-0.21,0.69
2022-09-05,95.8,92.88,96.0,92.0,8056,-3.05,0.7
2022-09-06,93.07,91.76,93.46,90.2,4863,-1.21,0.42
2022-09-07,91.73,93.29,93.86,90.57,3933,1.67,0.34
2022-09-08,93.48,91.65,94.88,90.6,4486,-1.76,0.39
2022-09-09,91.62,86.0,92.5,85.58,18427,-6.16,1.61
2022-09-13,86.0,84.54,86.0,82.1,40468,-1.7,3.53
2022-09-14,83.0,82.93,83.99,82.11,11453,-1.9,1.0
2022-09-15,83.07,82.49,83.79,81.51,10488,-0.53,0.91
2022-09-16,81.78,81.72,83.6,81.5,8738,-0.93,0.76
2022-09-19,81.32,83.85,83.98,80.4,9909,2.61,0.86
2022-09-20,84.16,84.09,84.66,83.0,6938,0.29,0.61
2022-09-21,84.04,83.37,85.5,83.05,5046,-0.86,0.44
2022-09-22,83.37,82.88,83.7,82.36,3851,-0.59,0.34
2022-09-23,82.22,81.26,83.3,80.24,5130,-1.95,0.45
2022-09-26,81.24,84.97,85.97,80.5,10466,4.57,0.91
2022-09-27,85.09,89.38,89.88,84.33,11378,5.19,0.99
2022-09-28,89.55,92.03,93.85,89.55,13334,2.96,1.16
2022-09-29,91.37,90.29,92.68,89.81,9726,-1.89,0.85
2022-09-30,90.79,90.71,93.5,89.63,11492,0.47,1.0
2022-10-10,90.78,88.07,91.29,87.11,8991,-2.91,0.78
2022-10-11,88.09,90.59,91.34,85.17,11337,2.86,0.99
2022-10-12,90.59,88.61,90.97,85.45,9633,-2.19,0.84
2022-10-13,90.42,92.5,94.36,89.4,11519,4.39,1.0
2022-10-14,92.46,93.47,94.6,91.0,10182,1.05,0.89
2022-10-17,94.5,96.59,97.99,94.49,12300,3.34,1.07
2022-10-18,96.6,95.76,96.67,93.0,9793,-0.86,0.85
2022-10-19,95.98,95.51,96.41,93.89,8714,-0.26,0.76
2022-10-20,95.64,93.94,97.0,93.53,7938,-1.64,0.69
2022-10-21,93.88,94.24,94.99,92.5,6306,0.32,0.55
2022-10-24,93.0,91.17,94.98,90.4,7450,-3.26,0.65
2022-10-25,89.9,92.13,93.48,89.9,10033,1.05,0.88
2022-10-26,90.01,91.57,94.16,90.01,11767,-0.61,1.03
2022-10-27,93.67,90.85,94.0,90.2,10602,-0.79,0.92
2022-10-28,92.91,88.64,92.91,88.53,8087,-2.43,0.71
2022-10-31,85.97,87.4,91.0,85.97,14228,-1.4,1.24
2022-11-01,87.62,93.42,93.68,86.67,14503,6.89,1.26
2022-11-02,93.42,93.96,96.22,92.5,9650,0.58,0.84
2022-11-03,93.95,96.26,97.46,93.31,8359,2.45,0.73
2022-11-04,95.6,98.02,99.2,95.14,11474,1.83,1.0
2022-11-07,97.38,99.11,99.99,96.4,10313,1.11,0.9
2022-11-08,99.0,99.26,101.99,97.73,7438,0.15,0.65
2022-11-09,96.97,96.83,99.5,96.3,7403,-2.45,0.65
2022-11-10,96.45,95.98,98.13,95.13,6474,-0.88,0.56
2022-11-11,98.3,97.0,100.98,93.68,10006,1.06,0.87
2022-11-14,96.99,96.0,97.56,95.5,9010,-1.03,0.79
2022-11-15,97.21,99.81,100.49,95.5,12269,3.97,1.07
2022-11-16,99.8,102.85,104.54,98.21,14358,3.05,1.25
2022-11-17,103.0,103.7,104.5,101.11,9472,0.83,0.83
2022-11-18,103.91,102.9,104.58,102.04,6839,-0.77,0.6
2022-11-21,102.2,103.46,104.54,100.72,11541,0.54,1.01
2022-11-22,103.46,103.72,104.3,102.13,5495,0.25,0.48
2022-11-23,103.5,101.35,107.35,100.72,9309,-2.28,0.81
2022-11-24,101.34,105.37,105.8,101.34,11194,3.97,0.98
2022-11-25,104.89,105.41,106.45,102.69,7889,0.04,0.69
2022-11-28,105.5,108.4,108.5,102.0,13612,2.84,1.19
2022-11-29,107.79,105.48,108.5,104.86,13195,-2.69,1.15
2022-11-30,104.88,106.91,108.18,104.25,7108,1.36,0.62
2022-12-01,109.0,106.3,110.81,105.01,13913,-0.57,1.21
2022-12-02,105.5,107.24,108.5,105.5,6868,0.88,0.6
